id;category_name;category_desc;created_at;updated_at
1;Corporate payment;communities;2020-05-08T07:20:52;2020-05-09T02:44:30
2;Intelligent Electronics;Specialist Louisiana monetize;2020-05-08T21:35:11;2020-05-08T12:55:12
3;platforms Fantastic Plastic Computer;drive;2020-05-08T07:08:36;2020-05-08T22:08:00
4;extend systems;reboot;2020-05-08T23:04:32;2020-05-08T07:16:31
5;Bedfordshire Ergonomic Chicken;one-to-one;2020-05-09T03:14:24;2020-05-08T18:49:30
6;parsing Marketing Unbranded;Oklahoma tan;2020-05-09T00:18:52;2020-05-08T12:25:35
7;Concrete back up;Borders productize;2020-05-08T09:46:57;2020-05-08T15:51:03
8;Health synergize bypassing;parse Dynamic Somali Shilling;2020-05-08T10:45:47;2020-05-09T01:02:32
9;bypass connecting;Avon Turkmenistan mission-critical;2020-05-08T10:37:35;2020-05-08T22:27:39
10;sticky;Kids Kids;2020-05-08T07:12:26;2020-05-09T00:24:01
