id;serial_number;purchase_date;created_at;updated_at
1;Avon calculating zero tolerance;2020-05-08;2020-05-08;2020-05-09
2;invoice mesh Malagasy Ariary;2020-05-08;2020-05-08;2020-05-09
3;Advanced driver;2020-05-08;2020-05-08;2020-05-08
4;next-generation turn-key Money Market Account;2020-05-08;2020-05-08;2020-05-08
5;leverage;2020-05-09;2020-05-08;2020-05-08
6;invoice Assistant;2020-05-08;2020-05-08;2020-05-08
7;Investment Account Small Rubber Pants;2020-05-09;2020-05-09;2020-05-08
8;Organized;2020-05-08;2020-05-08;2020-05-08
9;Intelligent Concrete Bacon engineer Andorra;2020-05-09;2020-05-08;2020-05-08
10;Berkshire Jewelery;2020-05-08;2020-05-08;2020-05-08
